,Rank,char,id_seiyuu
0,1,Inosuke Hashibira ,4597
1,1, Nezuko Kamado ,258
2,1, Tanjirou Kamado ,120
3,1, Zenitsu Agatsuma ,37
4,1, Daki ,113
5,1, Tengen Uzui ,63
6,1, Akaza ,324
12,2,Akito Sohma ,87
13,2, Kyo Sohma ,4980
14,2, Shigure Sohma ,196
15,2, Tohru Honda ,2285
16,2, Yuki Sohma ,123
17,2, Arisa Uotani ,10
18,2, Hatsuharu Sohma ,2240
19,2, Isuzu Sohma ,277
44,4,Alphonse Elric ,3229
45,4, Edward Elric ,134
46,4, Alex Louis Armstrong ,1866
47,4, Barry The Chopper ,1110
48,4, Buccaneer ,3445
49,4, Darius ,2513
50,4, Envy ,108
51,4, Father ,1320
60,5,Armin Arlelt ,93
61,5, Eren Jaeger ,199
62,5, Mikasa Ackerman ,4652
64,5, Beast Titan ,161
65,5, Bertholdt Hoover ,4277
66,5, Erwin Smith ,762
67,5, Hange Zoe ,134
76,6,Megumi Fushiguro ,4980
77,6, Nobara Kugisaki ,425
78,6, Satoru Gojo ,196
79,6, Yuji Itadori ,54
80,6, Aoi Todo ,3937
81,6, Hanami ,452
82,6, Junpei Yoshino ,186
83,6, Kento Nanami ,1869
92,7,Armin Arlelt ,93
93,7, Eren Jaeger ,199
94,7, Mikasa Ackerman ,4652
95,7, Yelena ,2806
108,8,Eren Jaeger ,199
109,8, Armin Arlelt ,93
110,8, Colt Grice ,96
111,8, Falco Grice ,120
112,8, Gabi ,527
113,8, Hange Zoe ,134
114,8, Jean Kirschtein ,1936
115,8, Levi ,40
124,9,Inosuke Hashibira ,4597
125,9, Kyoujurou Rengoku ,2363
126,9, Nezuko Kamado ,258
127,9, Tanjirou Kamado ,120
128,9, Zenitsu Agatsuma ,37
129,9, Akaza ,324
130,9, Enmu ,748
131,9, Amane Ubuyashiki ,3294
140,10,Shoyo Hinata ,14
141,10, Tobio Kageyama ,58
142,10, Asahi Azumane ,184
143,10, Daichi Sawamura ,142
144,10, Hitoka Yachi ,3949
145,10, Ittetsu Takeda ,40
146,10, Keishin Ukai ,1264
147,10, Kei Tsukishima ,81
156,11,Mitsuha Miyamizu ,2887
157,11, Taki Tachibana ,3432
158,11, Katsuhiko Teshigawara ,3388
159,11, Miki Okudera ,2434
160,11, Sayaka Natori ,390
161,11, Tsukasa Fujii ,123
162,11, Futaba Miyamizu ,3605
163,11, Hitoha Miyamizu ,886
172,12,Shoyo Hinata ,14
173,12, Tobio Kageyama ,58
174,12, Asahi Azumane ,184
175,12, Daichi Sawamura ,142
176,12, Hitoka Yachi ,3949
177,12, Ittetsu Takeda ,40
178,12, Keishin Ukai ,1732
179,12, Kei Tsukishima ,81
188,13,Inosuke Hashibira ,4597
189,13, Nezuko Kamado ,258
190,13, Tanjirou Kamado ,3563
191,13, Zenitsu Agatsuma ,37
192,13, Rui ,81
193,13, Sakonji Urokodaki ,44
194,13, Tamayo ,87
195,13, Yushiro ,741
204,14,Gon Freecss ,102
205,14, Killua Zoldyck ,2363
206,14, Biscuit Krueger ,20
207,14, Chrollo Lucilfer ,91
208,14, Hisoka Morow ,23
209,14, Ikalgo ,75
210,14, Illumi Zoldyck ,96
211,14, Knuckle Bine ,178
220,15,Shouko Nishimiya ,3524
221,15, Shouya Ishida ,2837
222,15, Miki Kawai ,102
223,15, Miyoko Sahara ,4652
224,15, Naoka Ueno ,4725
225,15, Shouya'S Mother ,3582
226,15, Tomohiro Nagatsuka ,1872
227,15, Yuzuru Nishimiya ,390
236,16,Claudia Hoggins ,161
237,16, Gilbert Bougainvillea ,23
238,16, Violet Evergarden ,4652
239,16, Benedict Blue ,81
240,16, Daisy Magnolia ,3949
241,16, Dietfried Bougainvillea ,1093
242,16, Iris Cannary ,34
243,16, Ulysse ,61
252,17,Asahi Azumane ,184
253,17, Daichi Sawamura ,142
254,17, Kei Tsukishima ,81
255,17, Koshi Sugawara ,2837
256,17, Ryunosuke Tanaka ,4899
257,17, Shoyo Hinata ,14
258,17, Tadashi Yamaguchi ,154
259,17, Tobio Kageyama ,58
272,19,Rimuru Tempest ,2662
273,19, Benimaru ,2240
274,19, Gobta ,443
275,19, Grucius ,142
276,19, Hakurou ,44
277,19, Myulan ,10
278,19, Ranga ,680
279,19, Shion ,86
285,20,Mafuyu Sato ,3838
286,20, Ritsuka Uenoyama ,4980
287,20, Akihiko Kaji ,4137
288,20, Haruki Nakayama ,2483
289,20, Hiiragi Kashima ,932
290,20, Ryou Ueki ,1208
291,20, Shogo Itaya ,1838
292,20, Yatake Koji ,3423
298,21,C.C. ,4707
299,21, Kallen Stadtfeld ,355
300,21, Lelouch Lamperouge ,50
301,21, Suzaku Kururugi ,4012
302,21, Anya Alstreim ,4958
303,21, Cecile Croomy ,76
304,21, Charles Zi Britannia ,3103
305,21, Cornelia Li Britannia ,1502
314,22,Lan Wangji ,575
