,Name,char,seiyuu
0,Demon Slayer: Kimetsu no Yaiba - Entertainment District Arc,Inosuke Hashibira , Yoshitsugu Matsuoka
1,Demon Slayer: Kimetsu no Yaiba - Entertainment District Arc, Nezuko Kamado , Akari Kitou
2,Demon Slayer: Kimetsu no Yaiba - Entertainment District Arc, Tanjirou Kamado , Natsuki Hanae
3,Demon Slayer: Kimetsu no Yaiba - Entertainment District Arc, Zenitsu Agatsuma , Hiro Shimono
4,Demon Slayer: Kimetsu no Yaiba - Entertainment District Arc, Daki , Miyuki Sawashiro
5,Demon Slayer: Kimetsu no Yaiba - Entertainment District Arc, Tengen Uzui , Katsuyuki Konishi
6,Demon Slayer: Kimetsu no Yaiba - Entertainment District Arc, Akaza , Akira Ishida
12,Fruits Basket the Final Season,Akito Sohma , Maaya Sakamoto
13,Fruits Basket the Final Season, Kyo Sohma , Yuuma Uchida
14,Fruits Basket the Final Season, Shigure Sohma , Yuuichi Nakamura
15,Fruits Basket the Final Season, Tohru Honda , Manaka Iwami
16,Fruits Basket the Final Season, Yuki Sohma , Nobunaga Shimazaki
17,Fruits Basket the Final Season, Arisa Uotani , Atsumi Tanezaki
18,Fruits Basket the Final Season, Hatsuharu Sohma , Makoto Furukawa
19,Fruits Basket the Final Season, Isuzu Sohma , Aki Toyosaki
44,Fullmetal Alchemist: Brotherhood,Alphonse Elric , Rie Kugimiya
45,Fullmetal Alchemist: Brotherhood, Edward Elric , Romi Park
46,Fullmetal Alchemist: Brotherhood, Alex Louis Armstrong , Kenji Utsumi
47,Fullmetal Alchemist: Brotherhood, Barry The Chopper , Hideyuki Umezu
48,Fullmetal Alchemist: Brotherhood, Buccaneer , Ryuzaburo Otomo
49,Fullmetal Alchemist: Brotherhood, Darius , Masuo Amada
50,Fullmetal Alchemist: Brotherhood, Envy , Minami Takayama
51,Fullmetal Alchemist: Brotherhood, Father , Iemasa Kayumi
60,Attack on Titan 3rd Season: Part II,Armin Arlelt , Marina Inoue
61,Attack on Titan 3rd Season: Part II, Eren Jaeger , Yuuki Kaji
62,Attack on Titan 3rd Season: Part II, Mikasa Ackerman , Yui Ishikawa
64,Attack on Titan 3rd Season: Part II, Beast Titan , Takehito Koyasu
65,Attack on Titan 3rd Season: Part II, Bertholdt Hoover , Tomohisa Hashizume
66,Attack on Titan 3rd Season: Part II, Erwin Smith , Daisuke Ono
67,Attack on Titan 3rd Season: Part II, Hange Zoe , Romi Park
76,Jujutsu Kaisen,Megumi Fushiguro , Yuuma Uchida
77,Jujutsu Kaisen, Nobara Kugisaki , Asami Seto
78,Jujutsu Kaisen, Satoru Gojo , Yuuichi Nakamura
79,Jujutsu Kaisen, Yuji Itadori , Junya Enoki
80,Jujutsu Kaisen, Aoi Todo , Subaru Kimura
81,Jujutsu Kaisen, Hanami , Atsuko Tanaka
82,Jujutsu Kaisen, Junpei Yoshino , Yoshitaka Yamaya
83,Jujutsu Kaisen, Kento Nanami , Kenjirou Tsuda
92,Attack on Titan The Final Season: Part II,Armin Arlelt , Marina Inoue
93,Attack on Titan The Final Season: Part II, Eren Jaeger , Yuuki Kaji
94,Attack on Titan The Final Season: Part II, Mikasa Ackerman , Yui Ishikawa
95,Attack on Titan The Final Season: Part II, Yelena , Mitsuki Saiga
108,Attack on Titan The Final Season,Eren Jaeger , Yuuki Kaji
109,Attack on Titan The Final Season, Armin Arlelt , Marina Inoue
110,Attack on Titan The Final Season, Colt Grice , Masaya Matsukaze
111,Attack on Titan The Final Season, Falco Grice , Natsuki Hanae
112,Attack on Titan The Final Season, Gabi , Ayane Sakura
113,Attack on Titan The Final Season, Hange Zoe , Romi Park
114,Attack on Titan The Final Season, Jean Kirschtein , Kishou Taniyama
115,Attack on Titan The Final Season, Levi , Hiroshi Kamiya
124,Demon Slayer: Kimetsu no Yaiba Movie - Mugen Train,Inosuke Hashibira , Yoshitsugu Matsuoka
125,Demon Slayer: Kimetsu no Yaiba Movie - Mugen Train, Kyoujurou Rengoku , Mariya Ise
126,Demon Slayer: Kimetsu no Yaiba Movie - Mugen Train, Nezuko Kamado , Akari Kitou
127,Demon Slayer: Kimetsu no Yaiba Movie - Mugen Train, Tanjirou Kamado , Natsuki Hanae
128,Demon Slayer: Kimetsu no Yaiba Movie - Mugen Train, Zenitsu Agatsuma , Hiro Shimono
129,Demon Slayer: Kimetsu no Yaiba Movie - Mugen Train, Akaza , Akira Ishida
130,Demon Slayer: Kimetsu no Yaiba Movie - Mugen Train, Enmu , Daisuke Hirakawa
131,Demon Slayer: Kimetsu no Yaiba Movie - Mugen Train, Amane Ubuyashiki , Rina Satou
