s.VoiceActor,Contagem
"""Kana Hanazawa""",281
"""Takahiro Sakurai""",273
"""Jun Fukuyama""",258
"""Miyuki Sawashiro""",233
"""Rie Kugimiya""",229
"""Megumi Hayashibara""",207
"""Tomokazu Seki""",204
"""Junichi Suwabe""",197
"""Yuuki Kaji""",196
"""Hiroshi Kamiya""",196
"""Yuuichi Nakamura""",194
"""Akira Ishida""",193
"""Yui Horie""",192
"""Daisuke Namikawa""",191
"""Daisuke Ono""",190
"""Tomokazu Sugita""",189
"""Takehito Koyasu""",184
"""Shinichirou Miki""",183
"""Youko Hikasa""",183
"""Aoi Yuuki""",178
"""Ayako Kawasumi""",175
"""Mamoru Miyano""",169
"""Ai Kayano""",165
"""Mamiko Noto""",163
"""Shizuka Itou""",159
"""Nobuhiko Okamoto""",159
"""Kouichi Yamadera""",157
"""Toshiyuki Morikawa""",156
"""Eri Kitamura""",155
"""Kappei Yamaguchi""",153
"""Chiwa Saitou""",151
"""Saori Hayami""",149
"""Ikue Ootani""",149
"""Kenichi Suzumura""",148
"""Masako Nozawa""",147
"""Keiji Fujiwara""",147
"""Yoshimasa Hosoya""",145
"""Hiro Shimono""",141
"""Katsuyuki Konishi""",140
"""Marina Inoue""",139
"""Yoshitsugu Matsuoka""",137
"""Akio Ootsuka""",136
"""Kazuhiko Inoue""",135
"""Aki Toyosaki""",133
"""Satoshi Hino""",133
"""Haruka Tomatsu""",133
"""Yukari Tamura""",133
"""Maaya Sakamoto""",131
"""Ami Koshimizu""",131
"""Kikuko Inoue""",131
"""Sayaka Oohara""",129
"""Rina Satou""",127
"""Maaya Uchida""",126
"""Yuuji Ueda""",126
"""Ryotaro Okiayu""",125
"""Aya Hisakawa""",125
"""Ayane Sakura""",124
"""Houko Kuwashima""",124
"""Nana Mizuki""",122
"""Minami Takayama""",121
"""Kana Asumi""",120
"""Hitomi Nabatame""",119
"""Kaori Nazuka""",118
"""Tesshou Genda""",117
"""Yuka Iguchi""",117
"""Rikiya Koyama""",114
"""Tetsuya Kakihara""",114
"""Ayana Taketatsu""",113
"""Kohsuke Toriumi""",111
"""Souichirou Hoshi""",111
"""Tatsuhisa Suzuki""",110
"""Nao Touyama""",109
"""Mayumi Tanaka""",109
"""Fumiko Orikasa""",108
"""Natsuki Hanae""",107
"""Tomoaki Maeno""",107
"""Kenichi Ogata""",107
"""Miyu Irino""",106
"""Yuu Kobayashi""",105
"""Wataru Takagi""",104
"""Hikaru Midorikawa""",104
"""Hiromi Tsuru""",101
"""Nobunaga Shimazaki""",100
"""Misato Fukuen""",100
"""Kana Ueda""",100
"""Unshou Ishizuka""",99
"""Toshihiko Seki""",99
"""Ryouhei Kimura""",98
"""Hiroyuki Yoshino""",98
"""Akira Kamiya""",97
"""Romi Park""",95
"""Kaori Mizuhashi""",95
"""Akeno Watanabe""",95
"""Emiri Katou""",95
"""Yukana""",94
"""Kouji Yusa""",94
"""Mikako Komatsu""",94
"""Akiko Yajima""",94
"""Kouki Uchiyama""",93
"""Kenjirou Tsuda""",92
"""Inori Minase""",92
"""Rie Tanaka""",91
"""Hiroaki Hirata""",90
"""Suzuko Mimori""",90
"""Jouji Nakata""",90
"""Showtaro Morikubo""",90
"""Mai Nakahara""",89
"""Shou Hayami""",89
"""Kensho Ono""",88
"""Hisako Kanemoto""",88
"""Kaito Ishikawa""",87
"""Hiroki Yasumoto""",87
"""Takeshi Kusao""",87
"""Rica Matsumoto""",87
"""Tooru Furuya""",86
"""Takuma Terashima""",86
"""Ai Orikasa""",86
"""Sumire Uesaka""",86
"""M.A.O.""",85
"""Ayahi Takagaki""",85
"""Mariya Ise""",84
"""Norio Wakamoto""",84
"""Kazuya Nakai""",84
"""Yuuki Ono""",84
"""Kotono Mitsuishi""",84
"""Daisuke Sakaguchi""",83
"""Megumi Toyoguchi""",83
"""Mitsuki Saiga""",82
"""Satsuki Yukino""",82
"""Junko Takeuchi""",82
"""Akemi Okamura""",81
"""Ryouko Shiraishi""",81
"""Ryouta Oosaka""",80
"""Kentarou Itou""",80
"""Wataru Hatano""",80
"""Aya Endou""",79
"""Ichiro Nagai""",79
"""Keiko Toda""",79
"""Noriko Hidaka""",78
"""Kaneta Kimotsuki""",78
"""Sanae Kobayashi""",77
"""Daisuke Kishio""",77
"""Minako Kotobuki""",77
"""Shigeru Chiba""",77
"""Rei Sakuma""",77
"""Rina Hidaka""",76
"""Kenta Miyake""",76
"""Minori Chihara""",76
"""Aya Hirano""",76
"""Kanae Itou""",76
"""Ryuusei Nakao""",76
"""Soma Saito""",75
"""Sora Amamiya""",75
"""Tomoko Kawakami""",74
"""Yumi Uchiyama""",74
"""Sayuri Yahagi""",74
"""Nobuyuki Hiyama""",74
"""Ayumu Murase""",73
"""Satomi Satou""",73
"""Junko Minagawa""",72
"""Nobuo Tobita""",72
"""Kenji Nojima""",72
"""Shintarou Asanuma""",72
"""Yumi Touma""",72
"""Noriko Ohara""",71
"""Yuuko Mizutani""",71
"""Daisuke Hirakawa""",71
"""Yusuke Kobayashi""",71
"""Choo""",71
"""Mami Koyama""",71
"""Yuko Kaida""",70
"""Toshio Furukawa""",70
"""Kousei Tomita""",70
"""Ryouka Yuzuki""",70
"""Kenyuu Horiuchi""",69
"""Rie Takahashi""",69
"""Kouki Miyata""",69
"""Tsubasa Yonaga""",69
"""Kaneto Shiozawa""",69
"""Kazuyuki Okitsu""",68
"""Yasunori Matsumoto""",68
"""Noriaki Sugiyama""",68
"""Juurouta Kosugi""",68
"""Tooru Ookawa""",68
"""Banjou Ginga""",68
"""Toshiyuki Toyonaga""",67
"""Megumi Ogata""",67
"""Mika Kanai""",67
"""Kishou Taniyama""",66
"""Yuuichirou Umehara""",66
"""Daisuke Gouri""",66
"""Atsumi Tanezaki""",65
"""Asami Seto""",65
"""Ryou Hirohashi""",65
"""Chinatsu Akasaki""",65
"""Yuuko Sanpei""",65
"""Kiyoshi Kobayashi""",65
"""Satomi Koorogi""",65
"""Daiki Yamashita""",64
"""Miki Itou""",64
"""Ryou Horikawa""",64
"""Yui Ogura""",64
"""Yuki Matsuoka""",64
"""Hideyuki Tanaka""",63
"""Takuya Eguchi""",63
"""Ai Kakuma""",63
"""Megumi Han""",62
"""Masami Kikuchi""",62
"""Mutsumi Tamura""",61
"""Ayumi Fujimura""",61
"""Kenn""",61
"""Michiko Neya""",61
"""Yuuma Uchida""",60
"""Atsuko Tanaka""",60
"""Atsushi Abe""",60
"""Saori Oonishi""",60
"""Hiroki Takahashi""",60
"""Motoko Kumai""",60
"""Wakana Yamazaki""",59
"""Satomi Arai""",59
"""Akiko Hiramatsu""",59
"""Yuuko Gotou""",58
"""Sakiko Tamagawa""",58
"""Yumi Kakazu""",58
"""Houchuu Ootsuka""",57
"""Nobutoshi Canna""",57
"""Lynn""",56
"""Risa Taneda""",56
"""Naoki Tatsuta""",56
"""Saeko Chiba""",56
"""Asami Sanada""",56
"""Reina Ueda""",56
"""Masumi Asano""",56
"""Miyu Matsuki""",56
"""Manami Numakura""",55
"""Hirotaka Suzuoki""",55
"""Mikako Takahashi""",54
"""Mitsuo Iwata""",54
"""Yuu Asakawa""",54
"""Kazuki Yao""",54
"""Ai Nonaka""",54
"""Yoshino Nanjou""",54
"""Junpei Takiguchi""",54
"""Eiko Masuyama""",54
"""Etsuko Kozakura""",54
"""Ryouko Shintani""",53
"""Shinnosuke Tachibana""",53
"""Toshiki Masuda""",53
"""Hiroki Touchi""",53
"""Chika Sakamoto""",53
"""Satomi Akesaka""",53
"""Chafurin""",52
"""Goro Naya""",52
"""Junji Majima""",52
"""Takeshi Aono""",52
"""Chinami Nishimura""",52
"""Yumiko Kobayashi""",52
"""Jouji Yanami""",52
"""Masaya Onosaka""",51
"""Yumiri Hanamori""",51
"""Yusaku Yara""",51
"""Makoto Furukawa""",50
"""Nozomu Sasaki""",50
"""Mai Kadowaki""",50
"""Naoko Matsui""",50
"""Emi Shinohara""",50
"""Makio Inoue""",50
"""Kenji Utsumi""",48
"""Masakazu Morita""",48
"""Kei Shindou""",48
"""Rumi Ookubo""",48
"""Akemi Kanda""",48
"""Susumu Chiba""",47
"""Misaki Kuno""",47
"""Kei Tomiyama""",47
"""Bin Shimada""",47
"""Fumihiko Tachiki""",47
"""Yuri Shiratori""",47
"""Minami Tsuda""",47
"""Kumiko Watanabe""",46
"""Ai Shimizu""",46
"""Yui Ishikawa""",46
"""Takako Honda""",46
"""Tetsu Inada""",46
"""Shuuichi Ikeda""",46
"""Takashi Kondou""",46
"""Atsuko Enomoto""",46
"""Yoshiko Sakakibara""",46
"""Hirofumi Nojima""",46
"""Kouji Tsujitani""",46
"""Yuki Kaida""",45
"""Rie Murakawa""",45
"""Issei Futamata""",45
