s1.VoiceActor,a.Name,s2.VoiceActor
"""Rikako Aida""","""Happy Party Train""","""Ai Furihata"""
"""Rikako Aida""","""Happy Party Train""","""Aika Kobayashi"""
"""Rikako Aida""","""Happy Party Train""","""Aina Suzuki"""
"""Rikako Aida""","""Happy Party Train""","""Anju Inami"""
"""Rikako Aida""","""Happy Party Train""","""Arisa Komiya"""
"""Rikako Aida""","""Happy Party Train""","""Kanako Takatsuki"""
"""Rikako Aida""","""Happy Party Train""","""Nanaka Suwa"""
"""Rikako Aida""","""Love Live! Sunshine!!""","""Ai Furihata"""
"""Rikako Aida""","""Love Live! Sunshine!!""","""Aika Kobayashi"""
"""Rikako Aida""","""Love Live! Sunshine!!""","""Aina Suzuki"""
"""Rikako Aida""","""Love Live! Sunshine!!""","""Anju Inami"""
"""Rikako Aida""","""Love Live! Sunshine!!""","""Arisa Komiya"""
"""Rikako Aida""","""Love Live! Sunshine!!""","""Kanako Takatsuki"""
"""Rikako Aida""","""Love Live! Sunshine!!""","""Nanaka Suwa"""
"""Rikako Aida""","""Love Live! Sunshine!! 2nd Season""","""Ai Furihata"""
"""Rikako Aida""","""Love Live! Sunshine!! 2nd Season""","""Aika Kobayashi"""
"""Rikako Aida""","""Love Live! Sunshine!! 2nd Season""","""Aina Suzuki"""
"""Rikako Aida""","""Love Live! Sunshine!! 2nd Season""","""Anju Inami"""
"""Rikako Aida""","""Love Live! Sunshine!! 2nd Season""","""Arisa Komiya"""
"""Rikako Aida""","""Love Live! Sunshine!! 2nd Season""","""Kanako Takatsuki"""
"""Rikako Aida""","""Love Live! Sunshine!! 2nd Season""","""Nanaka Suwa"""
"""Rikako Aida""","""Senryu Girl""","""Hiroyuki Yoshino"""
"""Rikako Aida""","""Senryu Girl""","""Kana Hanazawa"""
"""Rikako Aida""","""Senryu Girl""","""Megumi Yamaguchi"""
"""Rikako Aida""","""Senryu Girl""","""Misaki Kuno"""
"""Rikako Aida""","""Senryu Girl""","""Sayuri Yahagi"""
"""Rikako Aida""","""Senryu Girl""","""Sumire Uesaka"""
"""Rikako Aida""","""Senryu Girl""","""Tasuku Hatanaka"""
"""Rikako Aida""","""The Aquatope on White Sand""","""Azumi Waki"""
"""Rikako Aida""","""The Aquatope on White Sand""","""Kiyono Yasuno"""
"""Rikako Aida""","""The Aquatope on White Sand""","""Lynn"""
"""Rikako Aida""","""The Aquatope on White Sand""","""Miku Itou"""
"""Rikako Aida""","""The Aquatope on White Sand""","""Shimba Tsuchiya"""
"""Rikako Aida""","""The Aquatope on White Sand""","""Youhei Azakami"""
"""Rikako Aida""","""The Aquatope on White Sand""","""Yui Ishikawa"""
"""Rikako Aida""","""The Aquatope on White Sand Mini Anime""","""Azumi Waki"""
"""Rikako Aida""","""The Aquatope on White Sand Mini Anime""","""Lynn"""
"""Rikako Aida""","""The Aquatope on White Sand Mini Anime""","""Miku Itou"""
"""Rikako Aida""","""The Aquatope on White Sand Mini Anime""","""Shimba Tsuchiya"""
"""Rikako Aida""","""The Aquatope on White Sand Mini Anime""","""Youhei Azakami"""
