a1.Name,Proximo_Rikako_Aida,a2.Name,Trabalhou_com_proximos_Rikako_aida,a3.Name
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayaka Suwa""","""Hello!! KINMOZA!"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayaka Suwa""","""Hikari: Kariya wo Tsunagu Monogatari"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayaka Suwa""","""Hozuki's Coolheadedness 2nd Season: Part II"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayaka Suwa""","""If Her Flag Breaks"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayaka Suwa""","""Jinsei"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayaka Suwa""","""KINMOZA!"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayaka Suwa""","""KINMOZA! Movie: Thank You!!"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayaka Suwa""","""KINMOZA! Pretty Days"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayaka Suwa""","""Kaijuu Girls 2nd Season"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayaka Suwa""","""KonoSuba – God's blessing on this wonderful world!"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayaka Suwa""","""KonoSuba – God’s blessing on this wonderful world! OVA"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayaka Suwa""","""Konohana Kitan"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayaka Suwa""","""Love Lab"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayaka Suwa""","""Matoi the Sacred Slayer"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayaka Suwa""","""Mikagura School Suite"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayaka Suwa""","""Miss Monochrome"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayaka Suwa""","""Miss Monochrome 2"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayaka Suwa""","""My Sweet Tyrant"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayaka Suwa""","""Phantasy Star Online 2 The Animation"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayaka Suwa""","""Pikaia!"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayaka Suwa""","""Pikaia!!"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayaka Suwa""","""Riddle Story of Devil"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayaka Suwa""","""Smile Down the Runway"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayaka Suwa""","""Tanaka-kun is Always Listless"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayaka Suwa""","""Tanaka-kun is Always Listless Specials"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayaka Suwa""","""The Morose Mononokean"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayaka Suwa""","""The Morose Mononokean II"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayaka Suwa""","""Trinity Seven"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayaka Suwa""","""Trinity Seven Movie 2: Heavens Library & Crimson Lord"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayaka Suwa""","""Urara Meirochou"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayaka Suwa""","""Yowamushi Pedal: Special Ride"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""A Certain Magical Index Movie: The Miracle of Endymion"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""A Town Where You Live"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Aiura"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Akashic Records of Bastard Magic Instructor"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Assassins Pride"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Atom: The Beginning"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Attack on Titan The Final Season"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Attack on Titan: The Final Season PV"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Backflip!!"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Battle Spirits: Kakumei no Galette"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Blade of the Immortal (2019)"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Boarding School Juliet"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Bonjour♪Sweet Love Patisserie"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Chain Chronicle: Short Animation"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Chain Chronicle: The Light of Haecceitas"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Chain Chronicle: The Light of Haecceitas - Movie 1"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Chain Chronicle: The Light of Haecceitas - Movie 2"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Chain Chronicle: The Light of Haecceitas - Movie 3"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Charlotte"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Charlotte Special"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Day Break Illusion: il sole penetra le illusioni Special"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Dragonar Academy"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Dream Eater Merry"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Engaged to the Unidentified"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Engaged to the Unidentified OVA"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Garakowa -Restore the World-"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Girlfriend, Girlfriend"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Grisaia: Phantom Trigger"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Grisaia: Phantom Trigger - Stargazer"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Hakubo"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""High School DxD BorN"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""High School DxD Hero"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""High School DxD NEW"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""High School DxD NEW: Oppai, Tsutsumimasu!"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Hotarubi no Mori e"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Is the Order a Rabbit?"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Is the Order a Rabbit? Bloom"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Is the Order a Rabbit?? Season 2"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Is the Order a Rabbit?? ~Dear My Sister~"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Is the Order a Rabbit?? ~Sing For You~"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Joshiraku"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Joshiraku OVA"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Juni Taisen: Zodiac War"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Kakushigoto"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Kakushigoto Movie: Himegoto wa Nandesuka"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Kantai Collection: Kan Colle"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Kantai Collection: Kan Colle Movie"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Kase-san & Morning Glories"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Knights of Sidonia: Battle for Planet Nine"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Kokoro Connect"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Kono Oto Tomare!"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Kono Oto Tomare! 2nd Season"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Land of the Lustrous"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""LayereD Stories 0"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Levius"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Love Lab"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Magia Record: Puella Magi Madoka Magica Side Story"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Magia Record: Puella Magi Madoka Magica Side Story Season 2 -The Eve of Awakening-"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Mieruko-chan"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Miss Caretaker of Sunohara-sou"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Ms. Koizumi Loves Ramen Noodles"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""My Hero Academia 2"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""My Hero Academia: Hero Notebook"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""My Hero Academia: Jump Festa 2016 Special"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""My Hero Academia: Make It! Do-or-Die Survival Training"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""My Hero Academia: Training of the Dead"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""My Teen Romantic Comedy SNAFU Climax"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""My Teen Romantic Comedy SNAFU TOO!"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""My Teen Romantic Comedy SNAFU TOO! OVA"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""NAKAIMO: My little sister is among them!"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Nisekoi:"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Non Non Biyori"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Non Non Biyori Movie: Vacation"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Non Non Biyori Nonstop"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Non Non Biyori Repeat"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Non Non Biyori Repeat OVA"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Non Non Biyori: Okinawa e Ikukoto ni Natta"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Occultic;Nine"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Orange"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Osamake: Romcom Where The Childhood Friend Won't Lose"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Overlord: Play Play Pleiades"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Pretty Rhythm All Stars Selection: Prism Show☆Best Ten Movie"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Pretty Rhythm: Dear My Future"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Pretty Rhythm: Rainbow Live"""
"""Happy Party Train""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura""","""Promare"""
