,Rank,Name,Type,Episodes,Studio,Release_season,Tags,Rating,Release_year,Description,Related_anime,Voice_actors
54,55,Natsume's Book of Friends Season 4,TV   ,13.0,Brain's Base,Winter,"Drama, Shoujo, Slice of Life, Bodyguards, Cats, Countryside, Episodic, Iyashikei, Japanese Mythology, Orphans, Supernatural, Youkai, Based on a Manga",4.4,2012.0,"'Takashi Natsume continues to return the names of the spirits that have been written in the ""Book of Friends"" he inherited from his grandmother, Reiko Natsume. While Natsume is still aided by the chubby Nyanko-sensei, he\'s now helped by some of the friends he had made in his journey; be it human beings or spirits. As he becomes closer to both, Natsume faces the inevitable question of the sides he has to take especially when there is a conflict between the two.'","Natsume's Book of Friends, Natsume's Book of Friends Season 2, Zoku Natsume Yuujinchou: 3D Nyanko-sensei Gekijou, Natsume's Book of Friends Season 3, Natsume's Book of Friends: Nyanko-sensei & The First Errand, Natsume Yuujinchou: Itsuka Yuki no Hi ni, Natsume's Book of Friends Season 5, Natsume's Book of Friends Season 6, Natsume's Book of Friends Movie: Ephemeral Bond, Natsume's Book of Friends Movie 2","Nyanko-Sensei : Kazuhiko Inoue, Takashi Natsume : Hiroshi Kamiya, Atsushi Kitamoto : Hisayoshi Suganuma, Jun Sasada : Miyuki Sawashiro, Kaname Tanuma : Kazuma Horie, Nanase : Yoriko Nagata, Satoru Nishimura : Ryouhei Kimura, Seiji Matoba : Junichi Suwabe, Yuki Midorikawa
Original Creator, Takahiro Oomori
Director, Makoto Yoshimori
Music, Akira Takada
Character Design, Shuko Yokoyama
Producer, Tomomi Kyoutani
Producer, Reiko Sasaki
Producer, Hirofumi Sugawara
Producer"
56,57,Natsume's Book of Friends Season 5,TV   ,11.0,Shuka,Fall ,"Drama, Shoujo, Slice of Life, Bodyguards, Cats, Countryside, Episodic, Iyashikei, Japanese Mythology, Orphans, Supernatural, Youkai, Based on a Manga",4.4,2016.0,"'Takashi Natsume is a boy who\'s been able to see youkai ever since he was a child. Ever since he inherited the ""Book of Friends"" from his grandmother Reiko, he and his self-proclaimed bodyguard Nyanko-sensei have spent their days returning names to the youkai who are bound by the book. As he meets the different youkai and people, he finds himself with many more things that he cares about. He wonders whether it\'s right to keep secrets to protect someone as little by little he works up the courage to build even more friendships.'","Natsume's Book of Friends, Natsume's Book of Friends Season 2, Zoku Natsume Yuujinchou: 3D Nyanko-sensei Gekijou, Natsume's Book of Friends Season 3, Natsume's Book of Friends Season 4, Natsume's Book of Friends: Nyanko-sensei & The First Errand, Natsume Yuujinchou: Itsuka Yuki no Hi ni, Natsume's Book of Friends Season 5 Specials, Natsume's Book of Friends Season 6, Natsume's Book of Friends Movie: Ephemeral Bond, Natsume's Book of Friends Movie 2","Nyanko-Sensei : Sanae Kobayashi, Takashi Natsume : Hiroshi Kamiya, Kaname Tanuma : Kazuma Horie, Seiji Matoba : Junichi Suwabe, Shuichi Natori : Akira Ishida, Tooru Taki : Rina Satou, Touko Fujiwara : Miki Itou, Acorn-Eating Youkai, Yuki Midorikawa
Original Creator, Takahiro Oomori
Chief Director, Kotomi Deai
Director, Makoto Yoshimori
Music, Akira Takada
Character Design, Sayako Muramatsu
Producer, Shuko Yokoyama
Producer, Fumi Yazaki
Producer"
61,62,Wolf Children,Movie,,Studio Chizu,,"Fantasy, Slice of Life, Animal Characteristics, Animal Transformation, Childcare, Coming of Age, Contemporary Fantasy, Countryside, Death of a Loved One, Family Life, Lifestyle Change, Single Parent, Werewolves, Original Work, Nudity",4.39,2012.0,"'Hana was a student before she was a mother. She was bright and pretty, and her future held endless possibilities. Then she met a man, who turned out to be a wolf, and together they built a family. Hana loved her mate fiercely, but fate took him from her, leaving her alone with two unusual kids she didn’t know how to raise. Frightened of being discovered, Hana and her wolf children fled to the countryside to build a new life. Raising her little wild things was an adventure. It left Hana bruised, scratched, exhausted, and joyously overwhelmed as her pups grew stronger and wandered further every day. This is a mother’s journey. Teach your children to chase their dreams – and smile through the tears as they disappear into the world in search of who they will become. Hana wasn’t always a mother, but it was always what she was meant to be.'",Wolf Children x House Shokuhin Stew,"Ame : Amon Kabe, Hana : Aoi Miyazaki, Yuki : Haru Kuroki, Father : Takao Oosawa, Grandpa Nirasaki : Bunta Sugawara, Sohei Fujii : Takuma Hiraoka, Bunko : Chika Arakawa, Doi : Mitsuki Tanimura, Mamoru Hosoda
Director & Original Creator & Screenplay & Song Lyrics, Koutarou Tamura
Assistant Director, Masakatsu Takagi
Music & Song Arrangement & Song Composition, Yoshiyuki Sadamoto
Character Design, Hiroshi Oono
Art Director, Osamu Mikasa
Color Design, Ryou Horibe
Cg Director, Takashi Watanabe
Producer"
75,76,March Comes in like a Lion 2nd Season,TV   ,22.0,SHAFT,Fall ,"Drama, Seinen, Slice of Life, Board Games, Melancholy, Orphans, Psychological, Based on a Manga, Bullying,, Emotional Abuse",4.36,2017.0,"""Rei continues to\xa0work hard at improving his shogi skills, determined to win competitions. When he learns that one of the Kawamoto sisters is facing a\xa0crisis, he wants to do everything he can to help, including finding a way to use his shogi winnings to pay them back for all they've done to save him from\xa0his pain and loneliness.\xa0Meanwhile, Rei's self-appointed rival Nikaidou faces a crisis of his own when his poor health takes a turn for the worse.""","3-gatsu no Lion meets Bump of Chicken, March Comes in like a Lion, March Comes in like a Lion Recap","Akari Kawamoto : Ai Kayano, Hinata Kawamoto : Kana Hanazawa, Momo Kawamoto : Misaki Kuno, Rei Kiriyama : Yumi Uchiyama, Harunobu Nikaidou : Nobuhiko Okamoto, Kai Shimada : Shinichirou Miki, Kyouko Kouda : Marina Inoue, Masamune Gotou : Hiroki Touchi, Chica Umino
Original Creator, Kenjirou Okada
Director & Episode Director & Storyboard, Akiyuki Simbo
Director & Series Composition, Shaft
Series Composition, Yukari Hashimoto
Music, Nobuhiro Sugiyama
Animation Director & Character Design & Chief Animation Director, Rei Egami
Photography Director, Izumi Takizawa
Color Design"
76,77,Natsume's Book of Friends Season 3,TV   ,13.0,Brain's Base,Summer,"Drama, Shoujo, Slice of Life, Bodyguards, Cats, Countryside, Episodic, Iyashikei, Japanese Mythology, Orphans, Supernatural, Youkai, Based on a Manga",4.36,2011.0,"'Takashi Natsume sees spirits, and with the help of his lazy and sake-guzzling bodyguard Nyanko-sensei he returns to spirits their names that were stolen by his grandmother Reiko Natsume. Not all of the spirits are peaceful though, and he often fights to keep himself and his family and friends safe while at the same time fighting the loneliness that plagued him before he found his home.'","Natsume's Book of Friends, Natsume's Book of Friends Season 2, Zoku Natsume Yuujinchou: 3D Nyanko-sensei Gekijou, Natsume's Book of Friends Season 4, Natsume's Book of Friends: Nyanko-sensei & The First Errand, Natsume Yuujinchou: Itsuka Yuki no Hi ni, Natsume's Book of Friends Season 5, Natsume's Book of Friends Season 6, Natsume's Book of Friends Movie: Ephemeral Bond, Natsume's Book of Friends Movie 2","Nyanko-Sensei : Kazuhiko Inoue, Takashi Natsume : Hiroshi Kamiya, Kaname Tanuma : Kazuma Horie, Shigeru Fujiwara : Eiji Itou, Shuichi Natori : Akira Ishida, Tooru Taki : Rina Satou, Touko Fujiwara : Miki Itou, Aokuchinashi : Hisako Kyouda, Yuki Midorikawa
Original Creator, Takahiro Oomori
Director, Makoto Yoshimori
Music, Akira Takada
Character Design, Shuko Yokoyama
Producer, Tomomi Kyoutani
Producer, Reiko Sasaki
Producer, Hirofumi Sugawara
Producer"
91,92,The Disastrous Life of Saiki K. 2nd Season,TV   ,24.0,J.C.Staff,Winter,"Comedy, Shounen, Slice of Life, Breaking the Fourth Wall, Gag, Psychic Powers, School Life, Supernatural, Superpowers, Based on a Manga",4.36,2018.0,'Second season of The Disastrous Life of Saiki K.',"The Disastrous Life of Saiki K. (2013), The Disastrous Life of Saiki K., The Disastrous Life of Saiki K. 3, The Disastrous Life of Saiki K. - Reawakened","Kusuo Saiki : Hiroshi Kamiya, Aren Kuboyasu : Yoshimasa Hosoya, Chisato Mera : Maaya Uchida, Chiyo Yumehara : Yukari Tamura, Kineshi Hairo : Satoshi Hino, Kokomi Teruhashi : Ai Kayano, Kuniharu Saiki : Mitsuo Iwata, Kurumi Saiki : Rikako Aikawa, Shuichi Asou
Original Creator, Hiroaki Sakurai
Director, Psychic Lover
Music, Masayuki Onji
Character Design, Sayako Muramatsu
Producer, Souji Miyagi
Producer, Yasushi Uchida
Producer, Souya Kiyota
Producer"
105,106,Natsume's Book of Friends Season 2,TV   ,13.0,Brain's Base,Winter,"Drama, Shoujo, Slice of Life, Bodyguards, Cats, Countryside, Episodic, Iyashikei, Japanese Mythology, Orphans, Supernatural, Youkai, Based on a Manga",4.34,2009.0,"'Life continues as normal for Natsume - he still lives with the friendly Fujiwaras, walks home with his school friends, and spends his free time adventuring with spirits! However, as his encounters soon reveal, the relationship between spirits and humans is a delicate one and not always friendly either. As Natsume slowly uncovers the mystery of his grandmother Reiko as well as his own unique purpose, can he use the Book of Friends to reconcile the needs of spirits and humans?'","Natsume's Book of Friends, Zoku Natsume Yuujinchou: 3D Nyanko-sensei Gekijou, Natsume's Book of Friends Season 3, Natsume's Book of Friends Season 4, Natsume's Book of Friends: Nyanko-sensei & The First Errand, Natsume Yuujinchou: Itsuka Yuki no Hi ni, Natsume's Book of Friends Season 5, Natsume's Book of Friends Season 6, Natsume's Book of Friends Movie: Ephemeral Bond, Natsume's Book of Friends Movie 2","Nyanko-Sensei : Kazuhiko Inoue, Takashi Natsume : Hiroshi Kamiya, Jun Sasada : Miyuki Sawashiro, Kaname Tanuma : Kazuma Horie, Shigeru Fujiwara : Nanae Katou, Shuichi Natori : Akira Ishida, Tooru Taki : Rina Satou, Touko Fujiwara : Miki Itou, Yuki Midorikawa
Original Creator, Takahiro Oomori
Director, Makoto Yoshimori
Music, Akira Takada
Character Design, Sayako Muramatsu
Producer, Masanori Miyake
Producer, Shuko Yokoyama
Producer, Ikuhide Ichikawa
Producer"
139,140,Bunny Drop,TV   ,11.0,Production I.G,Summer,"Drama, Josei, Slice of Life, Childcare, Family Life, Iyashikei, Lifestyle Change, noitaminA, Single Parent, Based on a Manga",4.3,2011.0,"""When Daikichi's grandfather dies he leaves behind a young daughter named Rin. However, as most of the family is embarrassed at the idea of a 79-year-old man having a six-year-old child, they can't seem to figure out what to do with her. Disgusted by this behavior, Daikichi decides to take care of her himself, but he's a bachelor, has no idea how to raise a child, and isn't even all that comfortable with kids! Now, Daikichi must do the normal things a parent does such as enroll her in school, buy her clothing and teach her about the life and world around her. But more importantly, he must also help her deal with her father's death and decide whether or not she should try to find her mother. Together, the two begin their unlikely relationship as father and daughter, navigating each of life's bumps along the way.""",Bunny Drop Specials,"Daikichi Kawachi : Hiroshi Tsuchida, Rin Kaga : Ayu Matsuura, Kouki Nitani : Noa Sakai, Kouki'S Mother : Sayaka Oohara, Masako Yoshii : Maaya Sakamoto, Dark Brown-Haired Counselor : Yumi Yoshimura, Female Funeral Director : Tomomi Watanabe, Gotou : Yui Kano, Yumi Unita
Original Creator, Kanta Kamei
Director, Suguru Matsutani
Music, Yuu Yamashita
Character Design, Miho Tanaka
Color Design, Tetsuya Nakatake
Producer, Noriko Ozaki
Producer, Daisuke Konaka
Producer"
143,144,The Disastrous Life of Saiki K.,TV   ,120.0,J.C.Staff,Summer,"Comedy, Shounen, Slice of Life, Breaking the Fourth Wall, Gag, Psychic Powers, School Life, Short Episodes, Supernatural, Superpowers, Based on a Manga",4.3,2016.0,"""Kusuo Saiki is a typical 16-year-old high school student… except he has psychic powers. He can use them to get whatever he wants, but he also knows everything that people are thinking. Everything. No surprises, no secrets, no normal human experiences. He's kept his powers in check since childhood, but with the temptations of high school now on his mind, he's bending the rules—and spoons.""","The Disastrous Life of Saiki K. (2013), The Disastrous Life of Saiki K. 2nd Season, The Disastrous Life of Saiki K. 3, The Disastrous Life of Saiki K. - Reawakened","Kusuo Saiki : Hiroshi Kamiya, Riki Nendou : Daisuke Ono, Shun Kaidou : Nobunaga Shimazaki, Aren Kuboyasu : Yoshimasa Hosoya, Chisato Mera : Maaya Uchida, Chiyo Yumehara : Yukari Tamura, Kineshi Hairo : Satoshi Hino, Kokomi Teruhashi : Ai Kayano, Shuichi Asou
Original Creator, Hiroaki Sakurai
Director, Psychic Lover
Music, Masayuki Onji
Character Design, Sayako Muramatsu
Producer, Tomoya Negishi
Producer, Jun Fukuda
Producer, Hitoshi Yagi
Producer"
147,148,Miss Kobayashi's Dragon Maid S,TV   ,12.0,Kyoto Animation,Summer,"Comedy, Fantasy, Seinen, Slice of Life, Animal Characteristics, Cohabitation, Contemporary Fantasy, Dragons, Maids, Monster Girls, Non-Human Protagonists, Reverse Isekai, Roommates, Urban Fantasy, Based on a Manga",4.3,2021.0,"""The second season of Miss Kobayashi's Dragon Maid.""","Miss Kobayashi's Dragon Maid, Miss Kobayashi's Dragon Maid S Short Animation Series, Miss Kobayashi's Dragon Maid S Short Animation Series Specials, Miss Kobayashi's Dragon Maid S Specials, Miss Kobayashi's Dragon Maid S: Nippon no Omotenashi (Attend wa Dragon desu)","Kanna Kamui : Maria Naganawa, Kobayashi : Mutsumi Tamura, Tohru : Yuuki Kuwahara, Elma : Yuuki Takada, Fafnir : Daisuke Ono, Ilulu : Tomomi Mineuchi, Lucoa : Minami Takahashi, Makoto Takiya : Yuuichi Nakamura, Coolkyousinjya
Original Creator, Tatsuya Ishihara
Director & Episode Director & Storyboard, Yasuhiro Takemoto
Director & Storyboard, Yuka Yamada
Screenplay & Series Composition, Kotringo
Music, Kenji Kondo
Music, Masumi Itou
Music, Miku Kadowaki
Animation Director & Character Design"
